Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
pilon	31	31	0	0	2	2782003	4	1	0	5	5	0	5
efaecium.contigs	32	32	0	0	2	2783322	4	1	1	87	87	0	88
